f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,target
1.96234,-0.464502,0.641901,1.17487,0.915743,-1.01378,-2.60449,0.177671,-2.44325,1.74186,-1.66787,0.29757,-0.275166,1.26812,0.675333,-1.41979,2.2321,-0.793686,-1.10344,1.15357,-0.10635,-1.35541,-0.890625,3.3185,-1.00648,1.73899,0.339536,2.34694,-0.265234,-0.0410309,0
-0.195062,0.289168,0.795406,0.573886,-2.47301,-0.332497,0.72508,0.0995099,0.43697,-0.623594,0.363221,-0.0509007,0.619236,-0.337472,-0.424516,0.388081,-0.599803,-0.313685,-0.0217378,-0.652277,0.10156,0.0934074,-0.333851,-0.649597,0.0694287,-0.0935954,0.177447,-0.113103,-0.106204,-0.237239,0
-1.63223,-1.10793,-0.663193,2.80664,0.319427,0.167986,0.563004,-1.90704,2.76467,0.512646,1.94903,-0.0143707,-0.045879,1.54462,1.25169,-1.14718,0.590184,-0.4147,0.0422958,1.64674,1.36478,-0.332262,0.126215,-1.32922,-3.16319,1.51548,-0.508554,1.35795,-1.80353,0.988619,0
1.84187,0.112209,-1.75256,1.61394,0.77247,-0.396872,-0.994466,2.54953,-1.85543,0.905209,-1.6081,-1.82813,-1.52022,0.874665,0.728654,-1.05802,0.41727,-1.33792,1.12826,-0.498719,1.75645,0.457745,2.33403,2.29309,0.558461,0.979275,-1.22088,3.30083,1.00319,2.99249,1
2.00861,-0.00103113,-0.167166,-2.24729,0.513761,2.03146,-0.416367,-3.52947,0.371272,-0.804012,0.689611,2.8563,-0.123198,-0.260069,0.702937,-2.15753,3.42314,1.26905,-1.46268,0.878106,-2.15153,-3.45228,-0.948238,0.94838,-1.61047,1.78075,2.10947,0.231585,1.32723,2.13656,0
-0.519703,-0.342662,0.938303,1.1824,-0.481557,-1.90704,-1.03954,4.86467,-3.53549,0.788434,-0.195441,-2.677,2.24482,-0.108041,1.66438,0.998414,-1.666,0.508165,1.20081,-1.9175,1.50046,2.03081,0.511478,2.34457,2.96692,-0.81907,0.227316,1.80466,0.965673,0.125618,0
-0.370564,0.211882,-0.126066,1.49265,0.572763,-1.97548,-2.22662,4.11609,-5.05826,0.790874,-0.256642,-1.5232,-1.19702,0.127018,2.14418,-0.63812,0.759747,-0.100033,0.0291376,-1.91062,0.716241,-0.327901,1.53817,4.76107,2.12686,1.11281,-0.441847,3.87377,1.85316,1.58973,1
-0.811542,-0.495844,-1.27219,0.277557,-1.66866,0.0114894,-0.6301,-1.66788,0.242657,0.334071,0.657155,1.14806,0.843472,0.482151,0.311398,-0.786592,1.38895,-0.359673,-1.04757,1.02548,-0.650366,-1.32017,-1.97674,0.460264,-1.49057,1.00175,1.1607,0.242554,-0.597638,-0.451305,0
0.269259,0.706603,0.583352,1.30162,0.521295,-0.12542,2.87452,2.72812,0.0296608,-2.9908,-1.31604,-1.49514,1.78093,-1.74486,0.00130679,0.470914,-1.90165,0.974577,1.53043,-4.19418,1.26445,0.421568,-1.89038,-0.799023,2.2074,-0.0290892,-0.079581,1.90547,2.49975,3.84141,0
-0.594743,1.13753,1.98684,-0.0569766,0.471652,0.95946,-3.15902,-1.83185,-2.34013,1.53611,0.335839,1.68839,0.5291,1.6203,-0.504922,-3.84826,5.22022,0.770862,-1.44234,1.95389,-0.811923,-3.7964,0.0589663,4.68325,-2.33344,3.61661,0.76601,3.99191,1.25124,3.66434,0
0.840128,-0.513176,-2.39256,4.44424,-0.723723,-1.5853,1.59525,-2.72249,1.83675,-2.10847,0.673976,1.99816,-0.940877,-0.066174,-0.20714,-1.09002,1.29022,-1.10997,-2.30246,-1.09422,-0.346758,-3.27457,0.195221,-0.613093,-3.38372,3.09461,0.190597,2.31932,-1.112,0.123891,0
-0.548797,-0.998808,-0.0555817,1.00259,2.19337,-2.92346,0.648392,4.01535,-4.15091,-2.47884,-1.95618,-0.481556,-0.630963,-2.55869,0.606344,1.74303,-1.63934,-1.2115,-0.807185,-5.11422,-0.813092,-0.466437,0.51277,2.14315,3.83312,-0.351196,-0.760859,1.16602,2.2658,-0.989685,0
0.819426,0.132669,0.132383,-1.80836,1.30437,1.17601,-0.451574,0.428993,-1.50447,-0.501606,0.331545,0.320502,0.457286,-0.541673,-0.639687,-1.08055,1.38629,0.56369,0.246789,-0.775724,-0.59694,-1.11599,-0.00262244,1.71358,1.07405,0.519271,0.361948,1.07748,2.27336,2.85242,0
-2.57248,1.10273,-0.244539,2.05742,-1.45666,-1.15483,-2.07252,3.41541,-2.06407,2.76808,-0.0645229,-2.9218,0.060236,1.87279,-0.157418,-0.249651,-0.54958,0.932332,1.54206,0.957134,2.55087,2.29148,0.0551202,2.19464,0.56097,-0.00312325,-1.46366,2.49066,-0.60804,0.704621,0
-0.0418177,-1.66702,-1.37515,-0.334524,1.43161,-0.143954,-4.13394,5.03623,-3.40362,5.39912,-0.131112,-4.49322,0.216953,2.93088,1.75857,-0.119279,-0.746479,0.927629,3.08942,2.96922,3.25689,4.56412,-0.528042,3.26826,1.92493,-1.58727,-2.47076,1.61585,-0.55103,0.64201,0
0.187064,-0.308946,0.807958,1.50409,0.456573,-0.725718,-2.50233,6.48351,-3.26513,3.74281,2.00817,-5.34371,-0.343412,2.19764,2.01178,0.0117943,-1.73912,-2.33173,3.69336,0.603316,4.22243,4.57857,-0.279504,2.89835,2.59245,-1.11556,-0.226898,3.28827,0.428717,2.64926,0
-0.80068,0.524791,1.55627,3.52458,-0.0605296,-2.01743,-0.294263,3.03252,-3.57899,-1.3767,1.74016,-0.768943,0.407445,-0.457226,1.14597,-1.43573,1.18255,1.31576,-0.431453,-3.54173,0.864692,-2.07851,-1.26538,3.9181,0.898705,2.76329,-0.688594,5.57432,2.42246,3.82397,1
-0.270563,0.762722,0.324764,-2.81977,-0.0173162,1.74104,-2.20434,-2.43814,0.576388,2.59446,1.42182,0.978978,-0.286152,1.47482,-0.619528,-0.813053,1.77026,-0.39078,-0.252616,3.97457,-0.878967,0.0912798,1.29125,0.237537,-1.44024,-0.451999,-1.06569,-1.99667,-1.23207,-1.35657,1
-1.12097,0.473886,-0.578973,2.62673,0.190528,-1.0635,-0.618444,3.14452,-1.43768,1.0169,1.57902,-2.48841,-0.251771,1.00101,1.33426,-0.394488,-0.641561,-0.395282,1.40124,-0.639753,2.39029,1.36833,-0.168561,1.58222,0.593838,0.565594,2.26698,3.10505,0.259653,2.09648,0
1.665,1.01023,-1.70528,-2.61925,-0.0392802,0.861961,-0.702511,-0.309124,0.333616,1.27993,0.753808,-0.110267,0.0140415,0.165117,0.0931265,0.976301,-0.711615,-0.554032,0.479215,1.67532,-0.502065,1.58331,-0.531344,-0.919456,0.716363,-1.93319,0.22773,-2.87764,-0.72366,-2.17504,1
1.6691,-0.471633,-0.106436,2.4355,0.638952,0.16228,-0.937648,-2.27518,0.583094,0.6078,-0.549889,1.11567,-1.18124,1.59198,-1.43714,-2.67511,3.05416,0.400779,-1.098,1.51891,0.327745,-2.62039,-1.60886,1.53077,-3.40232,3.17785,1.31911,3.22677,-0.534283,2.36782,0
-1.44928,-0.164932,0.0488357,0.568963,-0.933542,1.39028,0.775696,-1.53168,3.86523,1.38253,-0.383776,-0.983271,-0.00998548,1.63033,1.20925,-0.0436614,-0.951007,1.11266,1.49955,2.78067,1.75866,2.04248,1.23532,-3.0928,-2.11719,-0.693002,-0.0440728,-1.19879,-2.21777,0.123128,1
-0.0408647,-0.0331857,0.87039,3.09009,0.206171,-0.848302,2.47939,-0.20052,0.631397,-3.29254,-0.0331788,0.728245,-1.84862,-1.26358,1.29854,-0.780807,0.30054,-0.968076,-0.755067,-3.38871,0.136483,-2.4395,-1.244,-0.211825,-0.657441,2.24486,1.74794,2.91588,1.39228,2.95745,0
-0.137182,-1.42727,-0.66353,2.77204,0.359157,-0.747283,-0.357345,-1.01893,0.876148,0.707012,-0.876048,0.105869,-0.121379,1.29584,-2.89723,-0.97303,0.876829,0.449558,-0.578707,1.09604,0.836076,-0.716852,-1.82908,0.206472,-2.37843,1.61779,0.52236,1.73216,-1.45444,0.102051,0
-0.672081,-0.0482406,0.691407,2.32964,0.414085,-0.853898,-1.38508,-4.19298,1.7727,1.57959,0.720551,2.21841,0.298786,1.92412,-2.22212,-1.22534,2.32356,0.946932,-2.49668,3.40045,-0.74609,-2.08734,-0.107161,-0.0876153,-4.60482,2.09888,1.04721,0.0657824,-3.35829,-3.04276,0
-0.121191,0.805996,-1.52664,0.359775,1.18134,-1.15064,-0.574654,3.76929,-0.142482,2.60663,-0.445678,-3.64549,0.862916,0.99951,2.12417,2.68397,-3.99863,-0.820298,2.43849,1.06882,2.46275,5.34504,-1.27405,-1.43722,2.08608,-3.35048,-1.09241,-2.0528,-2.06359,-3.28199,0
0.465453,0.992599,1.82841,1.2654,1.35759,-1.07334,-2.50278,3.05547,-2.48649,2.90344,0.288138,-2.42264,-0.122083,1.741,-0.653097,-0.225262,-0.169986,0.985282,1.13721,1.20354,1.90965,1.96141,0.533823,2.53971,0.686348,-0.119877,0.0341775,1.96247,-0.541247,0.0725119,0
-1.98304,0.879963,1.01343,-2.06495,2.14028,0.10073,-0.0319233,0.19078,0.408665,0.658718,0.532001,-0.256739,0.767265,-0.368225,1.95308,1.84229,-1.73912,1.26311,0.34728,0.772768,-0.525797,1.95897,1.60306,-1.55875,1.21428,-2.3905,0.76321,-3.3772,-0.964821,-3.28178,1
-0.251895,0.547251,0.0538234,2.35518,0.888501,-1.74332,-1.99839,0.589691,-3.24015,0.335045,2.3913,0.694658,1.47002,0.52906,-1.894,-1.75639,2.60681,-0.488056,-1.71343,-0.699405,-0.357837,-2.70299,-0.468625,4.13019,-0.788981,2.80825,-0.718174,3.90228,0.728237,1.06698,1
-0.0911587,0.651293,0.546007,3.0805,-0.189082,-1.4969,0.694525,4.66999,-1.30106,-0.0448962,-0.371014,-3.43417,-1.71996,0.167134,-2.21114,0.629223,-2.36182,0.947881,2.16589,-2.35387,2.98075,2.40776,0.0803723,0.63647,1.93896,-0.25787,-0.787075,2.92877,0.754504,2.3081,0
0.0270345,-0.18196,1.07303,2.11984,-0.785117,-1.63134,0.722662,2.41011,-1.3258,-1.07016,-0.721669,-1.07962,0.715148,-0.686345,-1.28597,0.578631,-1.16099,1.07586,0.204314,-2.49378,0.80795,0.251411,0.347575,0.694233,1.26286,0.273419,0.696428,1.73367,0.725001,0.55248,0
0.484008,2.09831,-1.56217,-2.01823,-0.00272965,0.403381,-0.742389,-1.20058,0.791484,1.34506,0.286253,0.465457,1.13942,0.330363,-0.182703,1.06821,-0.553233,1.56343,-0.22406,2.10892,-0.819035,1.18213,-0.587228,-1.23725,-0.135985,-1.67059,1.09511,-3.21808,-1.5823,-3.43365,1
-1.12302,0.177828,0.237833,1.37241,-0.0976662,-0.962672,-1.06143,2.48874,-2.68978,0.322301,-0.235999,-1.12637,-0.432839,0.230764,-1.78335,-0.769206,0.588741,1.24595,0.305679,-1.25292,0.858554,-0.292762,-1.05325,2.79204,0.989646,1.05068,1.17781,3.02842,1.30246,2.05372,1
-1.4689,-0.696511,0.35043,-0.785179,0.155866,1.09043,0.0661214,3.23665,-0.746869,0.664758,-2.2416,-2.75734,0.750155,0.255212,0.158609,0.00262524,-1.27887,0.986836,2.79119,-0.595599,2.06837,2.46917,-0.173925,0.369746,2.20267,-1.12227,-1.26065,1.1148,1.59604,3.40639,1
2.35644,-1.85386,-0.42728,2.60598,1.30261,-1.08955,-1.83701,0.982143,-0.469185,2.66185,-0.180341,-1.55225,-0.93896,2.21487,1.3224,-0.608636,0.235186,-1.30881,0.447062,2.06125,1.9006,1.18523,0.0848341,1.23521,-1.42916,0.714045,1.18364,1.87403,-1.85521,-0.447585,0
-0.0826083,-1.36559,1.49553,-2.71947,-0.233807,0.451374,-3.74794,-0.656008,-4.32587,1.45293,-0.809479,1.94936,0.293118,0.315366,0.35401,-2.10819,4.16535,-0.702412,-1.8408,1.13785,-2.35207,-3.02694,-0.278651,5.103,0.245519,1.62544,0.736128,1.40558,1.80505,0.670984,0
0.191727,0.539663,-0.292923,1.56129,0.00505837,-1.02977,1.29472,1.48563,-0.798408,-1.90303,1.09196,-0.319079,-0.0472211,-1.13475,0.739139,0.247039,-0.672946,0.546693,-0.064067,-2.82161,0.242497,-0.613464,0.155567,0.348674,1.03437,0.587717,-1.56749,1.59097,1.26218,1.30781,0
-0.906536,0.935435,-0.698958,5.52122,0.307428,-4.38295,-0.455274,-7.29896,1.20703,-1.5248,-1.33992,6.3487,0.186488,0.127888,1.32777,-0.7524,3.6443,0.255477,-7.43405,0.916116,-4.04296,-6.88111,-1.82383,0.364728,-6.66198,4.58633,0.460135,0.17193,-4.51718,-7.7898,0
1.30147,-2.19837,-0.250685,-1.53024,-1.83577,0.515308,-2.72017,1.05932,-3.68195,1.22493,1.2352,0.18811,1.2226,0.45139,-0.0408262,-1.86742,2.76156,-0.201137,-0.261401,0.299576,-0.608777,-1.52255,0.503491,4.30069,0.861615,1.27359,0.96551,2.39948,2.10603,2.50638,0
0.149045,-0.0928307,1.11386,-0.0846978,0.502637,0.792428,-0.627942,-1.29324,0.512769,0.672254,0.647515,0.500299,-0.440271,0.812634,-0.814207,-1.17298,1.40412,-0.0249608,-0.161922,1.35014,0.0065319,-0.779085,0.238597,0.411709,-1.35483,0.898773,1.16483,0.643113,-0.20008,1.05337,1
0.812491,0.415351,-0.162901,-0.55286,-0.652919,1.53212,-1.06673,-1.66635,0.553099,1.1132,-0.171097,0.548207,-0.221238,1.23721,0.320568,-1.92825,2.21588,0.00708874,0.0715809,2.03323,0.115355,-1.04736,0.178472,0.857291,-1.73816,1.27639,0.539195,1.12376,0.0958369,2.2423,0
1.8783,0.233045,-1.7602,1.05431,0.22459,0.24656,3.46119,1.7767,0.268148,-4.11136,-0.103087,-0.505549,0.222594,-2.33202,-1.13806,-0.0225757,-1.14661,1.31622,0.961684,-4.88909,0.534284,-0.940327,1.23165,-0.794436,1.91666,0.663181,1.08878,2.19451,3.23678,4.76735,0
-0.273866,-0.330189,-1.39249,3.01542,1.44592,-1.26738,0.926268,3.11381,-0.470966,-0.393628,0.78451,-2.39022,-1.14339,0.126157,0.365442,0.340875,-1.72304,1.82637,1.43556,-1.936,2.32249,1.46506,-0.951986,0.156472,0.936431,0.200545,-0.0551874,2.50994,0.379381,1.89661,0
-0.581559,-0.323136,0.221922,4.43405,1.18809,-2.10555,1.89689,-2.50824,1.01647,-3.11441,0.458151,2.55532,-1.64407,-0.903633,0.96877,-0.895325,1.3756,0.84153,-2.94471,-2.39381,-1.06872,-4.12294,-1.29914,-0.128361,-2.77281,3.32364,0.406944,2.48954,-0.410301,-0.0543761,0
0.87693,-1.26238,-0.228991,2.31353,0.875248,-1.67796,-1.34297,3.26218,-3.30473,0.564799,0.0958902,-1.57312,0.830746,0.42167,-0.315911,-0.697959,0.408716,-1.11987,0.288586,-1.51256,1.25742,-0.109561,0.0952857,3.34535,1.09372,1.25132,-0.709602,3.74283,1.13708,1.86441,1
-0.268531,-0.385686,1.54558,0.318615,0.781561,-0.0752591,-0.598848,2.32416,-1.68248,0.438381,-0.384945,-1.46326,-0.131443,0.215711,-0.493972,-0.426392,-0.0526989,0.907393,1.0774,-0.77594,1.08051,0.648803,0.485715,1.62068,1.25573,0.156493,-2.07806,1.89273,1.2306,2.19603,1
-0.16873,-0.399526,1.91013,1.07385,1.24132,-1.5128,0.0877477,1.48873,-2.29563,-1.37433,-0.246225,0.246145,0.151004,-1.10429,-0.347646,0.104374,0.162048,1.5423,-0.889221,-2.56103,-0.562275,-1.289,-0.614633,1.7983,1.22231,0.823202,1.77764,1.63138,1.33853,0.292825,0
-0.332842,0.671089,-0.600937,2.4201,-0.476245,-1.17319,1.40909,1.54247,-1.03169,-2.30412,0.943086,-0.238809,0.541937,-1.11341,0.511599,-0.370175,-0.115379,-1.74068,-0.215529,-3.34558,0.426314,-1.3706,-0.525553,0.939742,0.701641,1.47962,0.754691,2.90479,1.70686,2.53551,0
-0.280257,0.391395,-0.19606,-2.44246,0.177889,0.186445,-1.12833,-1.15319,-1.92424,-0.442786,1.5776,2.08343,1.32424,-0.953337,1.2178,-0.302305,1.76781,0.216019,-1.70138,-0.219787,-2.48645,-2.10644,-0.233636,1.74319,0.609153,0.273036,0.0635125,-0.900616,1.10691,-1.08105,0
-0.90014,-0.737723,-0.144692,3.88693,-1.237,-0.70826,2.4318,1.56268,0.75103,-2.37366,-0.48137,-1.1969,-0.82365,-0.493784,-0.378718,-0.751902,-0.672075,0.991043,0.857889,-3.13929,1.94085,-0.637755,0.489572,-0.322636,-0.202844,1.80316,-1.35087,3.84424,1.31614,4.33679,0
0.201958,-0.602297,0.87823,1.12287,-1.41687,-1.66789,1.00493,5.00804,-2.46946,-1.20629,0.156041,-2.62362,-0.782193,-1.38151,1.67679,1.67123,-2.83861,-0.642066,1.55088,-3.80873,1.41446,2.05211,0.295673,0.738215,3.75888,-1.26183,-0.321771,1.28702,1.79535,0.92071,0
-0.0101733,1.01418,-1.00261,-2.53435,-0.043831,0.341063,0.298508,0.278694,0.238607,0.0693631,-0.147617,-0.0790887,-0.635922,-0.836282,-0.906127,1.81994,-1.69355,0.0391171,0.369051,0.143825,-0.80078,1.65847,-0.0606446,-1.51422,1.66596,-2.40439,-0.819123,-3.36584,-0.297506,-2.69277,1
-0.609427,-0.602076,0.225299,-3.00025,-1.40242,1.77939,0.872849,-2.76629,2.96472,0.0925827,1.15025,1.15464,1.29035,-0.258744,-3.25205,1.03383,-0.748695,-0.799525,0.065867,1.9711,-1.15761,0.893567,0.139739,-3.26421,-0.577344,-1.92292,-0.527625,-4.3452,-1.27678,-2.43016,0
2.40599,1.50849,-0.508245,2.15425,0.144688,0.0970486,1.94451,-2.72827,2.19722,-2.34021,-0.0287868,1.8547,-0.0208351,-0.461198,-1.11406,-1.24247,1.28837,-0.521933,-1.31588,-1.03333,-0.500759,-2.83961,-1.10646,-1.08503,-2.44707,2.31134,-0.253979,1.49913,0.0839352,1.79355,1
-1.0777,1.39254,0.471422,-5.45578,-0.586841,4.20193,1.2106,-2.36064,1.64367,-1.52718,0.192792,1.56505,-0.136412,-1.29258,1.68952,-1.01429,1.33919,-0.507987,0.906898,0.216186,-1.67335,-1.05647,0.29336,-1.34759,0.821636,-0.760776,1.6839,-2.1089,2.75078,3.73142,0
-0.47993,0.604476,1.32466,1.7404,-1.43479,-0.93527,-1.44018,1.79573,-2.10096,1.04673,-0.0956211,-1.04822,0.0592741,0.892407,-1.11185,-0.970387,0.84692,-0.182203,0.184382,-0.149861,1.04982,-0.181973,-0.0385792,2.56419,0.0518742,1.21367,1.43524,2.89155,0.4188,1.4928,0
-0.17953,-1.66275,1.62501,-3.66738,1.64694,2.06546,-0.169601,-2.1041,-0.356446,-1.039,1.42571,2.20002,0.118964,-1.05501,0.214305,-1.02234,2.12304,0.395231,-0.806599,0.0177611,-2.29655,-2.22928,-1.51322,0.655026,0.330603,0.291317,0.303653,-1.03824,1.97237,1.47059,0
1.83087,-0.862364,2.03434,1.30769,2.12255,-0.0932801,1.86308,0.85248,0.60009,-1.88225,1.452,-0.502127,-0.721265,-0.854563,1.30433,0.00024721,-0.791443,-0.949403,0.580234,-2.22204,0.704075,-0.223042,0.937924,-0.728537,0.500584,0.454312,-0.311277,1.31589,1.11391,2.26884,0
0.84382,1.83271,-1.57704,-0.312767,-1.05267,-0.411426,1.35008,3.82389,-0.274081,-0.3481,-1.69994,-2.81759,-1.57833,-0.873217,-1.48576,2.25852,-3.6834,-1.22988,2.36533,-1.91722,1.64782,3.59153,1.82051,-1.49283,3.23753,-2.67028,-0.496154,-1.12065,0.575655,-0.179396,0
